haskell-blaze-builder 0.4.1.0-14
haskell-blaze-html 0.9.1.2-56
haskell-blaze-markup 0.8.2.7-26
haskell-byteable 0.1.1-20
haskell-case-insensitive 1.2.1.0-38
haskell-cereal 0.5.8.1-7
haskell-citeproc 0.1.1-5
haskell-cmark-gfm 0.2.2-14
haskell-cmdargs 0.10.20-14
haskell-colour 2.3.5-74
haskell-commonmark 0.1.1.2-1
haskell-commonmark-extensions 0.2.0.2-3
haskell-commonmark-pandoc 0.2.0.1-24
haskell-comonad 5.0.6-57
haskell-conduit 1.3.4-1
haskell-conduit-extra 1.3.5-67
haskell-connection 0.3.1-65
haskell-cookie 0.4.5-7
haskell-cryptonite 0.27-31
haskell-data-default 0.7.1.1-86
haskell-data-default-class 0.1.2.0-19
haskell-data-default-instances-containers 0.0.1-31
haskell-data-default-instances-dlist 0.0.1-99
haskell-data-default-instances-old-locale 0.0.1-31
haskell-data-fix 0.3.0-26
haskell-digest 0.0.1.2-20
haskell-distributive 0.6.2-39
haskell-dlist 1.0-22
haskell-doclayout 0.3-44
haskell-doctemplates 0.8.2-63
haskell-emojis 0.1-46
haskell-erf 2.0.0.0-19
haskell-errors 2.3.0-57
haskell-file-embed 0.0.13.0-1
haskell-glob 0.10.1-27
haskell-haddock-library 1.9.0-54
haskell-hashable 1.3.0.0-35
haskell-hourglass 0.2.12-81
haskell-hs-bibutils 6.10.0.0-4
haskell-hslua 1.2.0-10
haskell-hslua-module-system 0.2.2.1-13
haskell-hslua-module-text 0.3.0-10
haskell-hsyaml 0.2.1.0-51
haskell-hsyaml-aeson 0.2.0.0-86
haskell-http 4000.3.15-42
haskell-http-client 0.7.3-6
haskell-http-client-tls 0.3.5.3-329
haskell-http-types 0.12.3-97
haskell-hxt 9.3.1.18-171
haskell-hxt-charproperties 9.4.0.0-7
haskell-hxt-regex-xmlschema 9.2.0.3-23
haskell-hxt-unicode 9.0.2.4-19
haskell-integer-logarithms 1.0.3.1-1
haskell-ipynb 0.1.0.1-114
haskell-jira-wiki-markup 1.3.2-26
haskell-juicypixels 3.3.5-36
haskell-libyaml 0.1.2-74
haskell-memory 0.15.0-48
haskell-mime-types 0.1.0.9-9
haskell-mono-traversable 1.0.15.1-72
haskell-network 3.1.2.0-46
haskell-network-uri 2.6.3.0-190
haskell-old-locale 1.0.0.7-25
haskell-old-time 1.1.0.3-25
haskell-pandoc-types 1.22-10
haskell-pem 0.2.4-113
haskell-primitive 0.7.1.0-28
haskell-quickcheck 2.14.2-8
haskell-random 1.2.0-51
haskell-regex-base 0.94.0.0-6
haskell-regex-pcre 0.95.0.0-6
haskell-resourcet 1.2.4.2-30
haskell-rfc5051 0.2-3
haskell-safe 0.3.19-3
haskell-scientific 0.3.6.2-52
haskell-setenv 0.1.1.3-20
haskell-sha 1.6.4.4-14
haskell-skylighting 0.10-16
haskell-skylighting-core 0.10-16
haskell-socks 0.6.1-57
haskell-split 0.2.3.4-80
haskell-splitmix 0.1.0.3-4
haskell-streaming-commons 0.2.2.1-26
haskell-strict 0.4-27
haskell-syb 0.7.1-7
haskell-tagged 0.8.6-12
haskell-tagsoup 0.14.8-61
haskell-temporary 1.3-127
haskell-texmath 0.12.0.3-33
haskell-text-conversions 0.3.1-14
haskell-text-icu 0.7.0.1-34
haskell-th-abstraction 0.4.0.0-1
haskell-these 1.1.1.1-27
haskell-time-compat 1.9.4-4
haskell-tls 1.5.4-45
haskell-transformers-compat 0.6.6-1
haskell-typed-process 0.2.6.0-62
haskell-unicode-transforms 0.3.7.1-10
haskell-uniplate 1.6.13-3
haskell-unliftio-core 0.2.0.1-4
haskell-unordered-containers 0.2.13.0-10
haskell-utf8-string 1.0.1.1-19
haskell-uuid-types 1.0.3-57
haskell-vector 0.12.1.2-62
haskell-vector-algorithms 0.8.0.3-49
haskell-x509 1.7.5-91
haskell-x509-store 1.6.7-90
haskell-x509-system 1.6.6-158
haskell-x509-validation 1.6.11-90
haskell-xml 1.3.14-25
haskell-xml-conduit 1.9.0.0-74
haskell-xml-types 0.3.8-3
haskell-yaml 0.11.5.0-36
haskell-zip-archive 0.4.1-65
haskell-zlib 0.6.2.2-3
hicolor-icon-theme 0.17-2
hidapi 0.10.0-2
hspell 1.4-3
htop 3.0.2-1
hunspell 1.7.0-3
hwids 20200813.1-1
hwloc 2.2.0-1
hyphen 2.8.8-3
iana-etc 20201012-1
ibus 1.5.23+1+gdd4cc5b0-1
icu 67.1-1
ijs 0.35-3
imagemagick 7.0.10.43-1
imlib2 1.7.0-1
imwheel 1.0.0pre12-5
inetutils 1.9.4-8
inkscape 1.0.1-2
intel-gmmlib 20.3.3-1
intel-media-driver 20.4.1-1
intel-media-sdk 20.3.1-1
intel-ucode 20201118-1
iproute2 5.9.0-1
iptables 1:1.8.6-1
iputils 20200821-1
iso-codes 4.5.0-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.19-1
java-runtime-common 3-3
jbig2dec 0.19-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
jhead 3.04-1
jre-openjdk 14.0.2.u12-1
jre-openjdk-headless 14.0.2.u12-1
js68 68.12.0-1
js78 78.5.0-1
json-c 0.15-1
json-glib 1.6.0-1
julius 4.6-2
kaccounts-integration 20.08.3-1
kactivities 5.76.0-1
karchive 5.76.0-1
kauth 5.76.0-1
kbd 2.3.0-2
kbookmarks 5.76.0-1
kcmutils 5.76.0-1
kcodecs 5.76.0-1
kcompletion 5.76.0-1
kconfig 5.76.0-1
kconfigwidgets 5.76.0-1
kcoreaddons 5.76.0-1
kcrash 5.76.0-1
kdbusaddons 5.76.0-1
kdeclarative 5.76.0-1
kded 5.76.0-1
keyutils 1.6.3-1
kglobalaccel 5.76.0-1
kguiaddons 5.76.0-1
ki18n 5.76.0-1
kiconthemes 5.76.0-1
kio 5.76.0-1
kirigami2 5.76.0-1
kitemmodels 5.76.0-1
kitemviews 5.76.0-1
kjobwidgets 5.76.0-1
kjs 5.76.0-1
kmod 27-2
knotifications 5.76.0-1
kpackage 5.76.0-1
kparts 5.76.0-1
kpty 5.76.0-1
krb5 1.18.2-1
krita 4.4.1-5
kservice 5.76.0-1
ktextwidgets 5.76.0-1
kwallet 5.76.0-1
kwidgetsaddons 5.76.0-1
kwindowsystem 5.76.0-1
kxmlgui 5.76.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.9.0-3
latex2html 2020.2-1
lcms2 2.11-2
ldb 1:2.2.0-1
ldns 1.7.1-2
