"abind"
"animation"
"askpass"
"assertthat"
"backports"
"base64enc"
"bench"
"BH"
"bibtex"
"bit"
"bit64"
"bitops"
"blob"
"blogdown"
"bookdown"
"boot"
"brew"
"brio"
"broom"
"Cairo"
"callr"
"cellranger"
"checkmate"
"cli"
"clipr"
"cmprsk"
"codetools"
"colorout"
"colorspace"
"commonmark"
"conquer"
"covr"
"cpp11"
"crayon"
"crosstalk"
"crul"
"curl"
"d3scatter"
"data.table"
"DBI"
"dbplyr"
"deldir"
"desc"
"descr"
"devtools"
"DiagrammeR"
"diffobj"
"digest"
"downlit"
"downloader"
"dplyr"
"DT"
"dtplyr"
"dtupdate"
"dygraphs"
"ellipse"
"ellipsis"
"Epi"
"etm"
"evaluate"
"exams"
"extrafont"
"extrafontdb"
"fansi"
"farver"
"fastmap"
"feather"
"filehash"
"flexdashboard"
"fontawesome"
"forcats"
"forecast"
"formatR"
"formattable"
"Formula"
"fracdiff"
"fs"
"futile.logger"
"futile.options"
"generics"
"geometry"
"ggplot2"
"gh"
"gistr"
"git2r"
"glue"
"gridExtra"
"gtable"
"haven"
"hexbin"
"highcharter"
"highlight"
"highr"
"Hmisc"
"hms"
"htmlTable"
"htmltools"
"htmlwidgets"
"httpcode"
"httpuv"
"httr"
"igraph"
"import"
"influenceR"
"ini"
"isoband"
"jpeg"
"jsonlite"
"JuliaCall"
"kableExtra"
"KernSmooth"
"knitr"
"labeling"
"Lahman"
"lambda.r"
"later"
"latticeExtra"
"lazyeval"
"leaflet"
"leaflet.providers"
"lifecycle"
"linprog"
"lmtest"
"lpSolve"
"lubridate"
"magic"
"magick"
"magrittr"
"manipulateWidget"
"maps"
"markdown"
"MASS"
"MatrixModels"
"matrixStats"
"memisc"
"memoise"
"mgcv"
"microbenchmark"
"mime"
"miniUI"
"mockr"
"modelr"
"multcomp"
"munsell"
"mvtnorm"
"nanotime"
"nlme"
"numDeriv"
"nvimcom"
"nycflights13"
"openssl"
"packrat"
"pander"
"pbapply"
"phonR"
"phonTools"
"pillar"
"pkgbuild"
"pkgconfig"
"pkgdown"
"pkgload"
"plogr"
"plotly"
"plotrix"
"plyr"
"png"
"polspline"
"praise"
"prettydoc"
"prettyunits"
"processx"
"profmem"
"progress"
"promises"
"pryr"
"ps"
"purrr"
"quadprog"
"qualV"
"quantmod"
"quantreg"
"R.cache"
"R.methodsS3"
"R.oo"
"R.utils"
"R6"
"ragg"
"randomForest"
"rappdirs"
"raster"
"rbokeh"
"rCharts"
"rcmdcheck"
"RColorBrewer"
"Rcpp"
"RcppArmadillo"
"RcppCCTZ"
"RcppDate"
"RcppProgress"
"RCurl"
"readr"
"readxl"
"RefManageR"
"rematch"
"rematch2"
"remotes"
"repr"
"reprex"
"reshape"
"reshape2"
"reticulate"
"revealjs"
"rex"
"rgl"
"rglwidget"
"rjson"
"RJSONIO"
"rlang"
"rlist"
"rmarkdown"
"rmdformats"
"rms"
"RMySQL"
"roxygen2"
"rprojroot"
"rsconnect"
"RSQLite"
"rstudioapi"
"rsvg"
"Rttf2pt1"
"rversions"
"rvest"
"sandwich"
"sass"
"scales"
"scatterD3"
"scriptName"
"selectr"
"servr"
"sessioninfo"
"shiny"
"showtext"
"showtextdb"
"sourcetools"
"sp"
"SparseM"
"spatial"
"splancs"
"stringi"
"stringr"
"styler"
"survival"
"sylly"
"sylly.en"
"sys"
"sysfonts"
"systemfonts"
"tables"
"testit"
"testthat"
"textshaping"
"TH.data"
"threejs"
"tibble"
"tidyr"
"tidyselect"
"tidyverse"
"tikzDevice"
"timeDate"
"tinytex"
"triebeard"
"tseries"
"tth"
"TTR"
"tufte"
"urca"
"urltools"
"usethis"
"utf8"
"vctrs"
"vembedr"
"viridis"
"viridisLite"
"visNetwork"
"waffle"
"waldo"
"webshot"
"whisker"
"widgetframe"
"withr"
"xaringan"
"xaringanthemer"
"xfun"
"XML"
"xml2"
"xopen"
"xtable"
"xts"
"yaml"
"zoo"
"base"
"boot"
"class"
"cluster"
"codetools"
"compiler"
"datasets"
"foreign"
"graphics"
"grDevices"
"grid"
"KernSmooth"
"lattice"
"MASS"
"Matrix"
"methods"
"mgcv"
"nlme"
"nnet"
"nvimcom"
"parallel"
"rpart"
"spatial"
"splines"
"stats"
"stats4"
"survival"
"tcltk"
"tools"
"utils"
